T,nu_Sigma_f,v,LAMBDA,k_eff,reactivity,total_beta,beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,lambda_0,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7
1200.0,0.021405249381847614,1776908.3262625819,2.6291458906276548e-05,0.9838568665161629,-0.016408010182416014,0.007393776882955064,0.00021370213376271138,0.0010700660613515763,0.0006187424530319115,0.0013851730618906224,0.0023758127010719762,0.0008049170897764947,0.0006664840298275755,0.00025887935224219586,0.012466699999999982,0.0282917000000002,0.04252440000000013,0.13304200000000047,0.2924672000000002,0.6664876999999981,1.6347809999999852,3.5546000000000038
1300.0,0.02105903885423587,1785780.539823092,2.6590920286454536e-05,0.9750998253475313,-0.02553602616387935,0.007393776882955064,0.00021370213376271138,0.0010700660613515763,0.0006187424530319115,0.0013851730618906224,0.0023758127010719762,0.0008049170897764947,0.0006664840298275755,0.00025887935224219586,0.012466699999999982,0.0282917000000002,0.04252440000000013,0.13304200000000047,0.2924672000000002,0.6664876999999981,1.6347809999999852,3.5546000000000038
1400.0,0.02125436008947017,1789204.6894493615,2.629613605761522e-05,0.9826642465244634,-0.017641583620092608,0.007393776882955064,0.00021370213376271138,0.0010700660613515763,0.0006187424530319115,0.0013851730618906224,0.0023758127010719762,0.0008049170897764947,0.0006664840298275755,0.00025887935224219586,0.012466699999999982,0.0282917000000002,0.04252440000000013,0.13304200000000047,0.2924672000000002,0.6664876999999981,1.6347809999999852,3.5546000000000038
1500.0,0.02116126984032113,1798185.9322281843,2.6279898231764596e-05,0.9705233233171386,-0.03037194055482708,0.007393776882955064,0.00021370213376271138,0.0010700660613515763,0.0006187424530319115,0.0013851730618906224,0.0023758127010719762,0.0008049170897764947,0.0006664840298275755,0.00025887935224219586,0.012466699999999982,0.0282917000000002,0.04252440000000013,0.13304200000000047,0.2924672000000002,0.6664876999999981,1.6347809999999852,3.5546000000000038
1600.0,0.021024738552668797,1793367.1113804295,2.6521628968934822e-05,0.9690797101768043,-0.03190685915563587,0.007393776882955064,0.00021370213376271138,0.0010700660613515763,0.0006187424530319115,0.0013851730618906224,0.0023758127010719762,0.0008049170897764947,0.0006664840298275755,0.00025887935224219586,0.012466699999999982,0.0282917000000002,0.04252440000000013,0.13304200000000047,0.2924672000000002,0.6664876999999981,1.6347809999999852,3.5546000000000038
1700.0,0.021118953067819506,1781348.2414489922,2.658145721221218e-05,0.972670812289833,-0.02809705746780809,0.007393776882955064,0.00021370213376271138,0.0010700660613515763,0.0006187424530319115,0.0013851730618906224,0.0023758127010719762,0.0008049170897764947,0.0006664840298275755,0.00025887935224219586,0.012466699999999982,0.0282917000000002,0.04252440000000013,0.13304200000000047,0.2924672000000002,0.6664876999999981,1.6347809999999852,3.5546000000000038
1800.0,0.021188584550214662,1763442.5518033847,2.6763119802595478e-05,0.9798880133099879,-0.02052478080844703,0.007393776882955064,0.00021370213376271138,0.0010700660613515763,0.0006187424530319115,0.0013851730618906224,0.0023758127010719762,0.0008049170897764947,0.0006664840298275755,0.00025887935224219586,0.012466699999999982,0.0282917000000002,0.04252440000000013,0.13304200000000047,0.2924672000000002,0.6664876999999981,1.6347809999999852,3.5546000000000038
1900.0,0.021076772933736644,1794422.8633655743,2.6440586790135207e-05,0.9709235197014864,-0.02994724065130617,0.007393776882955064,0.00021370213376271138,0.0010700660613515763,0.0006187424530319115,0.0013851730618906224,0.0023758127010719762,0.0008049170897764947,0.0006664840298275755,0.00025887935224219586,0.012466699999999982,0.0282917000000002,0.04252440000000013,0.13304200000000047,0.2924672000000002,0.6664876999999981,1.6347809999999852,3.5546000000000038
2000.0,0.020958170125867814,1802700.9779588163,2.6468110817072947e-05,0.9630667888561868,-0.03834958444333644,0.007393776882955064,0.00021370213376271138,0.0010700660613515763,0.0006187424530319115,0.0013851730618906224,0.0023758127010719762,0.0008049170897764947,0.0006664840298275755,0.00025887935224219586,0.012466699999999982,0.0282917000000002,0.04252440000000013,0.13304200000000047,0.2924672000000002,0.6664876999999981,1.6347809999999852,3.5546000000000038
2073.15,0.021047582102850543,1798458.3266810307,2.6417846279131047e-05,0.9654312202547716,-0.03580656914752139,0.007393776882955064,0.00021370213376271138,0.0010700660613515763,0.0006187424530319115,0.0013851730618906224,0.0023758127010719762,0.0008049170897764947,0.0006664840298275755,0.00025887935224219586,0.012466699999999982,0.0282917000000002,0.04252440000000013,0.13304200000000047,0.2924672000000002,0.6664876999999981,1.6347809999999852,3.5546000000000038
