T,node_id,D1,D2,Sigma_a1,Sigma_a2,nu_Sigma_f1,nu_Sigma_f2,kappa_Sigma_f1,kappa_Sigma_f2,Sigma_s12,inv_v1,inv_v2,beta_1,lambda_1,beta_2,lambda_2,beta_3,lambda_3,beta_4,lambda_4,beta_5,lambda_5,beta_6,lambda_6,beta_7,lambda_7,beta_8,lambda_8
900.0,12,1.0680210793477956,0.2969403305834532,0.007451732853675369,0.06479466906737855,0.004316940026723367,0.05925398727823044,323714.89050023584,4713712.309267564,0.019766620525194716,5.795165657572105e-08,2.61551027957224e-06,0.00021682126277959178,0.0124667,0.0010364432661165285,0.028291699999999993,0.0006140869603882842,0.0425244,0.0013353097859407081,0.13304199999999997,0.002250225116601703,0.29246719999999987,0.0006713013333494966,0.6664876999999999,0.0005855666359068894,1.634781,0.0001897146502484527,3.5545999999999993
900.0,13,1.0400575724490317,0.33074298972018684,0.008103732577085073,0.0705091273821778,0.004491886864342422,0.08245051402876072,341259.23140945344,6559955.229382944,0.01924577782602033,6.010008652753177e-08,2.609139078127033e-06,0.00021729322399833412,0.012466700000000002,0.0010357212957728614,0.02829170000000001,0.000613793201618261,0.04252439999999998,0.001332547028209872,0.13304199999999994,0.0022435304936756074,0.2924671999999999,0.0006598452094946711,0.6664876999999998,0.0005782109181159098,1.6347809999999994,0.00018296606562375413,3.5545999999999998
900.0,14,1.070930226507835,0.31743812034112645,0.012532682660178188,0.06872654609740352,0.00352049318158457,0.06640481873005198,266370.9837546748,5282286.996245954,0.01711709892780114,4.6924919216639445e-08,2.5330957913648874e-06,0.00021726929038948218,0.012466699999999997,0.001037016417477041,0.028291699999999982,0.000614903385373795,0.04252440000000002,0.001335417456464728,0.1330419999999999,0.0022476251982178944,0.2924672,0.0006669262073887261,0.6664876999999998,0.0005829386809909543,1.634781000000001,0.00018650080364153085,3.5545999999999993
900.0,15,1.128884838451757,0.289942498367683,0.008737052545246376,0.06944595490461916,0.004962751871522077,0.07460099553046683,381102.3219850341,5934936.824307865,0.018649402853437042,6.332398577406375e-08,2.6536427535656468e-06,0.00021751779571838124,0.012466699999999999,0.0010348976968106128,0.02829170000000001,0.0006148151908487669,0.04252439999999999,0.0013324282476147196,0.13304200000000002,0.0022395293460469802,0.2924672,0.0006584832284468756,0.6664876999999996,0.0005779315473141038,1.6347809999999994,0.0001821304942643001,3.554599999999999
900.0,16,0.9912550279850652,0.31933491328292485,0.010027069642214195,0.06337513548149618,0.0049434766603948955,0.06358206659170695,376880.1301515501,5057875.163670264,0.019475039597328842,6.449410067488742e-08,2.528200887309716e-06,0.00021715687416856352,0.012466699999999999,0.001038138672668202,0.028291700000000006,0.0006157153905749498,0.0425244,0.001338082122955731,0.13304199999999994,0.002252369850153313,0.29246720000000004,0.0006743785692791934,0.6664877,0.0005878617302465627,1.6347810000000005,0.0001905268920584528,3.5546000000000006
900.0,17,1.1611215197870084,0.3101048386441511,0.007174943412587722,0.07031149499361254,0.005187114272337971,0.07822483278449725,386516.71212286607,6222281.716759863,0.019232597102700883,5.576834674513336e-08,2.5115525069277566e-06,0.00021675364342171757,0.0124667,0.0010381039859020474,0.02829170000000001,0.0006147962298488018,0.04252440000000001,0.0013380293628536093,0.13304199999999994,0.0022551261688998113,0.2924671999999999,0.0006779152794100951,0.6664876999999998,0.000589702079895915,1.6347810000000014,0.00019281309625989777,3.5545999999999998
900.0,18,1.0529755738613036,0.32822805571159136,0.008398417138587083,0.0756659893440432,0.005016645821350541,0.08751933414783591,382725.5759818805,6962386.782641661,0.018627863252211906,5.9366981212823714e-08,2.487805212651343e-06,0.00021756468796979336,0.012466699999999985,0.0010332659579705133,0.028291699999999993,0.000614623001548845,0.042524399999999934,0.0013304012356116783,0.13304199999999994,0.002234345540472211,0.29246719999999976,0.0006540873953143216,0.6664876999999994,0.0005753553151972247,1.6347810000000016,0.00018002835045122603,3.5545999999999984
900.0,19,1.1131898884767504,0.3392521802146751,0.00891488017514417,0.07423994297848531,0.005052404391987807,0.09054284812528554,382362.02596092696,7203204.771698469,0.018850933122333147,5.8784909444979747e-08,2.531436977658535e-06,0.0002172733273694541,0.012466699999999985,0.0010351669473372984,0.02829170000000002,0.000614101815359568,0.04252439999999996,0.0013324843416444077,0.13304200000000002,0.002242103881510904,0.2924672000000001,0.0006605171999337504,0.6664877000000008,0.0005788692128425574,1.6347809999999996,0.000183437113917778,3.554599999999996
900.0,20,1.0523655071815734,0.32177458834107703,0.009016991990119443,0.07637454824722795,0.00535900931485802,0.0906045992630662,406600.18798226304,7208006.623306136,0.019248552876979064,6.079616530257996e-08,2.5296842373698684e-06,0.00021746256723556562,0.0124667,0.0010324919823924772,0.02829169999999999,0.000614261480744221,0.04252440000000001,0.0013294955813401663,0.133042,0.00223300395174,0.29246720000000004,0.0006532839115820821,0.6664876999999995,0.0005748494905212937,1.6347810000000007,0.00017990882513798176,3.5545999999999998
900.0,21,1.1121372231517672,0.33341428278492985,0.00906770363352539,0.07582501074397566,0.005283539222048913,0.09247175255106435,399786.3686163371,7356834.835952932,0.018766816098032338,6.002889305219699e-08,2.550479337699023e-06,0.00021727252455058734,0.012466699999999982,0.001034700751214978,0.028291699999999958,0.0006140090598998601,0.04252439999999996,0.0013319104994270552,0.13304199999999994,0.0022407971400520386,0.29246720000000015,0.0006594019116310996,0.6664877000000001,0.0005782134050970492,1.6347809999999996,0.00018294919379157286,3.554600000000005
900.0,22,1.0492034705650533,0.3432793797507189,0.008494344530566666,0.07128773774926891,0.005023952991308993,0.08564460000428535,378316.59429068514,6813699.664386609,0.01748171280334922,5.930379803425588e-08,2.535560839499752e-06,0.0002170170388846639,0.012466700000000018,0.0010371216003734257,0.02829170000000007,0.0006139550413969903,0.042524400000000025,0.0013350589317622215,0.133042,0.0022499945395468013,0.2924672000000002,0.0006679985209939091,0.6664877000000003,0.0005832217673291132,1.6347810000000011,0.00018741570881825894,3.5546000000000046
900.0,23,1.0940034275387065,0.3415115931304291,0.008728954122724559,0.07237864066966516,0.005110981159139367,0.08714655240736971,387875.2531592184,6932837.603681249,0.01919339169925506,5.8707151982414424e-08,2.5202959678113535e-06,0.00021731165511644745,0.012466699999999992,0.0010349992061327712,0.028291699999999996,0.0006143041860647,0.04252439999999992,0.0013324753710777558,0.13304199999999988,0.002241345012281772,0.29246719999999954,0.0006603482092103568,0.6664877000000001,0.000578879400825174,1.634780999999999,0.0001833336277147565,3.5546000000000038
900.0,24,1.0737561208371635,0.3185142785589411,0.008755936386402315,0.07642659318180778,0.005278691783262602,0.08893892849195288,401571.78152258066,7075552.385521272,0.01831324950557947,5.819978631552911e-08,2.5494934020242407e-06,0.00021740543619472376,0.01246670000000001,0.0010341821294284168,0.028291700000000017,0.000614323585642733,0.0425244,0.0013314121827983404,0.1330419999999999,0.002238300294096825,0.2924672,0.0006573755119370209,0.6664877000000005,0.0005771556444213566,1.634780999999999,0.00018181618151508612,3.5546000000000033
